,passenger_id,age,sibsp,parch,fare,alone,sex_male,embarked_Q,embarked_S,class_Second,class_Third
0,0,22.0,1,0,7.25,0,1,0,1,0,1
1,1,38.0,1,0,71.2833,0,0,0,0,0,0
2,2,26.0,0,0,7.925,1,0,0,1,0,1
3,3,35.0,1,0,53.1,0,0,0,1,0,0
4,4,35.0,0,0,8.05,1,1,0,1,0,1
5,5,29.69911764705882,0,0,8.4583,1,1,1,0,0,1
6,6,54.0,0,0,51.8625,1,1,0,1,0,0
7,7,2.0,3,1,21.075,0,1,0,1,0,1
8,8,27.0,0,2,11.1333,0,0,0,1,0,1
9,9,14.0,1,0,30.0708,0,0,0,0,1,0
10,10,4.0,1,1,16.7,0,0,0,1,0,1
11,11,58.0,0,0,26.55,1,0,0,1,0,0
12,12,20.0,0,0,8.05,1,1,0,1,0,1
13,13,39.0,1,5,31.275,0,1,0,1,0,1
14,14,14.0,0,0,7.8542,1,0,0,1,0,1
15,15,55.0,0,0,16.0,1,0,0,1,1,0
16,16,2.0,4,1,29.125,0,1,1,0,0,1
17,17,29.69911764705882,0,0,13.0,1,1,0,1,1,0
18,18,31.0,1,0,18.0,0,0,0,1,0,1
19,19,29.69911764705882,0,0,7.225,1,0,0,0,0,1
20,20,35.0,0,0,26.0,1,1,0,1,1,0
21,21,34.0,0,0,13.0,1,1,0,1,1,0
22,22,15.0,0,0,8.0292,1,0,1,0,0,1
23,23,28.0,0,0,35.5,1,1,0,1,0,0
24,24,8.0,3,1,21.075,0,0,0,1,0,1
25,25,38.0,1,5,31.3875,0,0,0,1,0,1
26,26,29.69911764705882,0,0,7.225,1,1,0,0,0,1
27,27,19.0,3,2,263.0,0,1,0,1,0,0
28,28,29.69911764705882,0,0,7.8792,1,0,1,0,0,1
29,29,29.69911764705882,0,0,7.8958,1,1,0,1,0,1
30,30,40.0,0,0,27.7208,1,1,0,0,0,0
31,31,29.69911764705882,1,0,146.5208,0,0,0,0,0,0
32,32,29.69911764705882,0,0,7.75,1,0,1,0,0,1
33,33,66.0,0,0,10.5,1,1,0,1,1,0
34,34,28.0,1,0,82.1708,0,1,0,0,0,0
35,35,42.0,1,0,52.0,0,1,0,1,0,0
36,36,29.69911764705882,0,0,7.2292,1,1,0,0,0,1
37,37,21.0,0,0,8.05,1,1,0,1,0,1
38,38,18.0,2,0,18.0,0,0,0,1,0,1
39,39,14.0,1,0,11.2417,0,0,0,0,0,1
40,40,40.0,1,0,9.475,0,0,0,1,0,1
41,41,27.0,1,0,21.0,0,0,0,1,1,0
42,42,29.69911764705882,0,0,7.8958,1,1,0,0,0,1
43,43,3.0,1,2,41.5792,0,0,0,0,1,0
44,44,19.0,0,0,7.8792,1,0,1,0,0,1
45,45,29.69911764705882,0,0,8.05,1,1,0,1,0,1
46,46,29.69911764705882,1,0,15.5,0,1,1,0,0,1
47,47,29.69911764705882,0,0,7.75,1,0,1,0,0,1
48,48,29.69911764705882,2,0,21.6792,0,1,0,0,0,1
49,49,18.0,1,0,17.8,0,0,0,1,0,1
50,50,7.0,4,1,39.6875,0,1,0,1,0,1
51,51,21.0,0,0,7.8,1,1,0,1,0,1
52,52,49.0,1,0,76.7292,0,0,0,0,0,0
53,53,29.0,1,0,26.0,0,0,0,1,1,0
54,54,65.0,0,1,61.9792,0,1,0,0,0,0
55,55,29.69911764705882,0,0,35.5,1,1,0,1,0,0
56,56,21.0,0,0,10.5,1,0,0,1,1,0
57,57,28.5,0,0,7.2292,1,1,0,0,0,1
58,58,5.0,1,2,27.75,0,0,0,1,1,0
59,59,11.0,5,2,46.9,0,1,0,1,0,1
60,60,22.0,0,0,7.2292,1,1,0,0,0,1
62,62,45.0,1,0,83.475,0,1,0,1,0,0
63,63,4.0,3,2,27.9,0,1,0,1,0,1
64,64,29.69911764705882,0,0,27.7208,1,1,0,0,0,0
65,65,29.69911764705882,1,1,15.2458,0,1,0,0,0,1
66,66,29.0,0,0,10.5,1,0,0,1,1,0
67,67,19.0,0,0,8.1583,1,1,0,1,0,1
68,68,17.0,4,2,7.925,0,0,0,1,0,1
69,69,26.0,2,0,8.6625,0,1,0,1,0,1
70,70,32.0,0,0,10.5,1,1,0,1,1,0
71,71,16.0,5,2,46.9,0,0,0,1,0,1
72,72,21.0,0,0,73.5,1,1,0,1,1,0
73,73,26.0,1,0,14.4542,0,1,0,0,0,1
74,74,32.0,0,0,56.4958,1,1,0,1,0,1
75,75,25.0,0,0,7.65,1,1,0,1,0,1
76,76,29.69911764705882,0,0,7.8958,1,1,0,1,0,1
77,77,29.69911764705882,0,0,8.05,1,1,0,1,0,1
78,78,0.83,0,2,29.0,0,1,0,1,1,0
79,79,30.0,0,0,12.475,1,0,0,1,0,1
80,80,22.0,0,0,9.0,1,1,0,1,0,1
81,81,29.0,0,0,9.5,1,1,0,1,0,1
82,82,29.69911764705882,0,0,7.7875,1,0,1,0,0,1
83,83,28.0,0,0,47.1,1,1,0,1,0,0
84,84,17.0,0,0,10.5,1,0,0,1,1,0
85,85,33.0,3,0,15.85,0,0,0,1,0,1
86,86,16.0,1,3,34.375,0,1,0,1,0,1
